English,Deutsch
part,Teil
history,Geschichte
search,suchen
only,nur
police,Polizei
thought,Gedanke
help,helfen
request,Anfrage
kind,Art
month,Monat
brother,Bruder
let,lassen
because,Weil
to put,stellen
no,NEIN
leash,Leine
them,ihnen
city,Stadt
each,jede
speak,sprechen
come,kommen
should,sollen
baby,Baby
long time,lange Zeit
hours,Std.
will,Wille
while,während
meet again,wiedersehen
any,beliebig
square,Quadrat
speak,sprechen
understood,verstanden
knew,wusste
were,war
Warning,Warnung
here is,hier ist
could,könnte
case,Fall
give,geben
type,Typ
their,ihre
given,gegeben
train,Zug
body,Körper
place,Ort
eyes,Augen
way,Weg
listen,Hören
whose,wessen
find,finden
first,Erste
lost,verloren
hand,Hand
first,Erste
side,Seite
power,Leistung
old,alt
be,Sei
here,Hier
morning,Morgen
so much,so viel
child,Kind
point,Punkt
came,kam
after,nach
sorry,Entschuldigung
come,kommen
in front of,vor
towards,in Richtung
minutes,Minuten
request,Anfrage
bedroom,Schlafzimmer
placed,platziert
beautiful,Schön
law,Gesetz
would like to,würde gerne
today,Heute
husband,Ehemann
cause,Ursache
finally,Endlich
hope,Hoffnung
water,Wasser
Wait,Warten
left,links
new,neu
job,Arbeit
Stop,Stoppen
would say,würde sagen
Earth,Erde
account,Konto
given,gegeben
far,weit
end,Ende
believe,glauben
sweetheart,Schatz
large,groß
rather,eher
will have,wird haben
girls,Mädchen
to play,zu spielen
office,Büro
